Date,Review Text,Rating (# of stars),Sentiment,Category
Mar 23,Sizing is inconsistent. I ordered two pairs in the same size and they were completely different.,2,Negative,Size
Mar 1,The sizing chart was spot on. I appreciate that there were no surprises with the fit.,5,Positive,Size
Feb 27,The 'charcoal grey' is a lovely shade. The quality seems decent for the price.,4,Positive,Color
Feb 15,I'm obsessed with the wide-leg style! They fit beautifully and are so flattering.,5,Positive,Size
Feb 12,The color I received was not even close to the picture on the website. This is misleading.,3,Neutral,Color
Feb 1,"I love the color of these trousers, it's exactly as pictured. The quality feels very durable, too.",5,Positive,Color
Jan 31,"I had an issue with a wrong item being shipped, but customer service fixed it immediately.",4,Positive,Customer Service
Jan 22,"The fabric is so thin, it's practically see-through. I can't wear these in public.",1,Negative,Quality
Jan 21,"The trousers are okay, but they wrinkle very easily which is a pain to deal with.",2,Negative,Quality
Jan 18,The seam came undone on the leg after two weeks. This is unacceptable.,1,Negative,Quality
